hidden_layer_sizes,max_epoch,learning_rate_init,max_error,trial,mean_cv_accuracy,train_accuracy,test_accuracy
"[30, 30, 20, 1]",100,0.1,0.1,4,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",100,0.1,0.1,5,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",500,0.1,0.01,1,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",500,0.1,0.01,2,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",500,0.1,0.01,3,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",500,0.1,0.01,4,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",500,0.1,0.01,5,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",500,0.1,0.05,1,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",500,0.1,0.05,2,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",500,0.1,0.05,3,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",500,0.1,0.05,4,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",500,0.1,0.05,5,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",500,0.1,0.1,1,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",500,0.1,0.1,2,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",500,0.1,0.1,3,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",500,0.1,0.1,4,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",500,0.1,0.1,5,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",1000,0.1,0.01,1,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",1000,0.1,0.01,2,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",1000,0.1,0.01,3,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",1000,0.1,0.01,4,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",1000,0.1,0.01,5,0.9754075454122031,0.993421052631579,0.9823008849557522
"[30, 30, 20, 1]",1000,0.1,0.05,1,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",1000,0.1,0.05,2,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",1000,0.1,0.05,3,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",1000,0.1,0.05,4,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",1000,0.1,0.05,5,0.9490296537804689,0.9605263157894737,0.9469026548672567
"[30, 30, 20, 1]",1000,0.1,0.1,1,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",1000,0.1,0.1,2,0.9332091290172333,0.9364035087719298,0.9292035398230089
"[30, 30, 20, 1]",1000,0.1,0.1,3,0.9332091290172333,0.9364035087719298,0.9292035398230089
