hidden_layer_sizes,max_epoch,learning_rate_init,max_error,mean_accuracy,train_accuracy,test_accuracy
"[30, 30, 20, 1]",500,0.2,0.01,0.9542928116752056,0.9934065934065934,0.9824561403508771
"[30, 30, 20, 1]",500,0.2,0.05,0.9542928116752056,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",500,0.2,0.1,0.9542928116752056,0.9560439560439561,0.9736842105263158
"[30, 30, 20, 1]",1000,0.2,0.01,0.9542928116752056,0.9934065934065934,0.9824561403508771
"[30, 30, 20, 1]",1000,0.2,0.05,0.9542928116752056,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",1000,0.2,0.1,0.9542928116752056,0.9560439560439561,0.9736842105263158
"[30, 20, 1]",100,0.3,0.01,0.9542772861356932,0.9934065934065934,0.9824561403508771
"[30, 20, 1]",100,0.3,0.05,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",100,0.3,0.1,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",500,0.3,0.01,0.9542772861356932,0.9934065934065934,0.9824561403508771
"[30, 20, 1]",500,0.3,0.05,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",500,0.3,0.1,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",1000,0.3,0.01,0.9542772861356932,0.9934065934065934,0.9824561403508771
"[30, 20, 1]",1000,0.3,0.05,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",1000,0.3,0.1,0.9542772861356932,0.9824175824175824,0.9912280701754386
"[30, 30, 20, 1]",100,0.3,0.01,0.9437820214252446,0.9912087912087912,0.9824561403508771
"[30, 30, 20, 1]",100,0.3,0.05,0.9437820214252446,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",100,0.3,0.1,0.9437820214252446,0.9560439560439561,0.9649122807017544
"[30, 30, 20, 1]",500,0.3,0.01,0.9437820214252446,0.9912087912087912,0.9824561403508771
"[30, 30, 20, 1]",500,0.3,0.05,0.9437820214252446,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",500,0.3,0.1,0.9437820214252446,0.9560439560439561,0.9649122807017544
"[30, 30, 20, 1]",1000,0.3,0.01,0.9437820214252446,0.9912087912087912,0.9824561403508771
"[30, 30, 20, 1]",1000,0.3,0.05,0.9437820214252446,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",1000,0.3,0.1,0.9437820214252446,0.9560439560439561,0.9649122807017544
"[30, 20, 1]",100,0.5,0.01,0.9542928116752056,0.9912087912087912,0.9736842105263158
"[30, 20, 1]",100,0.5,0.05,0.9542928116752056,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",100,0.5,0.1,0.9542928116752056,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",500,0.5,0.01,0.9542928116752056,0.9912087912087912,0.9736842105263158
"[30, 20, 1]",500,0.5,0.05,0.9542928116752056,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",500,0.5,0.1,0.9542928116752056,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",1000,0.5,0.01,0.9542928116752056,0.9912087912087912,0.9736842105263158
"[30, 20, 1]",1000,0.5,0.05,0.9542928116752056,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",1000,0.5,0.1,0.9542928116752056,0.9824175824175824,0.9824561403508771
"[30, 30, 20, 1]",100,0.5,0.01,0.952553951249806,0.9846153846153847,0.956140350877193
"[30, 30, 20, 1]",100,0.5,0.05,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",100,0.5,0.1,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",500,0.5,0.01,0.952553951249806,0.9846153846153847,0.956140350877193
"[30, 30, 20, 1]",500,0.5,0.05,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",500,0.5,0.1,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",1000,0.5,0.01,0.952553951249806,0.9846153846153847,0.956140350877193
"[30, 30, 20, 1]",1000,0.5,0.05,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",1000,0.5,0.1,0.952553951249806,0.9736263736263736,0.9649122807017544
"[30, 20, 1]",100,0.7,0.01,0.956047197640118,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",100,0.7,0.05,0.956047197640118,0.9802197802197802,0.9912280701754386
"[30, 20, 1]",100,0.7,0.1,0.956047197640118,0.9824175824175824,0.9736842105263158
"[30, 20, 1]",500,0.7,0.01,0.956047197640118,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",500,0.7,0.05,0.956047197640118,0.9802197802197802,0.9912280701754386
"[30, 20, 1]",500,0.7,0.1,0.956047197640118,0.9824175824175824,0.9736842105263158
"[30, 20, 1]",1000,0.7,0.01,0.956047197640118,0.9912087912087912,0.9824561403508771
